Experiment #,Honest Voter Accuracy,Adversarial Control,Oracle Accuracy
0,0.8,0.4,0.0
1,0.8,0.4,1.0
2,0.8,0.4,0.0
3,0.8,0.4,0.0
4,0.8,0.4,0.0
5,0.8,0.4,0.0
6,0.8,0.4,0.05
7,0.8,0.4,0.0
8,0.8,0.4,0.0
9,0.8,0.4,0.0
10,0.8,0.4,0.05
11,0.8,0.4,0.0
12,0.8,0.4,0.0
13,0.8,0.4,0.75
14,0.8,0.4,0.0
15,0.8,0.4,0.0
16,0.8,0.4,0.0
17,0.8,0.4,0.0
18,0.8,0.4,0.0
19,0.8,0.4,0.0
