Experiment #,Honest Voter Accuracy,Adversarial Control,Oracle Accuracy
0,0.8,0.4,0.1
1,0.8,0.4,0.4
2,0.8,0.4,0.2
3,0.8,0.4,0.3
4,0.8,0.4,0.25
5,0.8,0.4,0.35
6,0.8,0.4,0.35
7,0.8,0.4,0.3
8,0.8,0.4,0.35
9,0.8,0.4,0.3
10,0.8,0.4,0.6
11,0.8,0.4,0.2
12,0.8,0.4,0.3
13,0.8,0.4,0.45
14,0.8,0.4,0.2
15,0.8,0.4,0.3
16,0.8,0.4,0.25
17,0.8,0.4,0.15
18,0.8,0.4,0.3
19,0.8,0.4,0.3
