Experiment #,Honest Voter Accuracy,Adversarial Control,Oracle Accuracy
0,0.8,0.15,0.95
1,0.8,0.15,0.95
2,0.8,0.15,1.0
3,0.8,0.15,0.95
4,0.8,0.15,0.95
5,0.8,0.15,1.0
6,0.8,0.15,0.9
7,0.8,0.15,0.9
8,0.8,0.15,0.95
9,0.8,0.15,0.95
10,0.8,0.15,1.0
11,0.8,0.15,1.0
12,0.8,0.15,1.0
13,0.8,0.15,1.0
14,0.8,0.15,1.0
15,0.8,0.15,0.95
16,0.8,0.15,0.95
17,0.8,0.15,1.0
18,0.8,0.15,1.0
19,0.8,0.15,0.95
