Experiment #,Honest Voter Accuracy,Adversarial Control,Oracle Accuracy
0,0.8,0.35,0.4
1,0.8,0.35,0.35
2,0.8,0.35,0.45
3,0.8,0.35,0.25
4,0.8,0.35,0.55
5,0.8,0.35,0.5
6,0.8,0.35,0.45
7,0.8,0.35,0.45
8,0.8,0.35,0.45
9,0.8,0.35,0.35
10,0.8,0.35,0.3
11,0.8,0.35,0.75
12,0.8,0.35,0.65
13,0.8,0.35,0.5
14,0.8,0.35,0.35
15,0.8,0.35,0.45
16,0.8,0.35,0.6
17,0.8,0.35,0.6
18,0.8,0.35,0.5
19,0.8,0.35,0.5
