Experiment #,Honest Voter Accuracy,Adversarial Control,Oracle Accuracy
0,0.8,0.45,0
1,0.8,0.45,0
2,0.8,0.45,0
3,0.8,0.45,0
4,0.8,0.45,0
5,0.8,0.45,0
6,0.8,0.45,0
7,0.8,0.45,0
8,0.8,0.45,0
9,0.8,0.45,0
10,0.8,0.45,0
11,0.8,0.45,0.05
12,0.8,0.45,0
13,0.8,0.45,0
14,0.8,0.45,0
15,0.8,0.45,0
16,0.8,0.45,0
17,0.8,0.45,0
18,0.8,0.45,0
19,0.8,0.45,0
,,,
,,,0.0025
