Experiment #,Honest Voter Accuracy,Adversarial Control,Oracle Accuracy
0,0.8,0.45,0.05
1,0.8,0.45,0.15
2,0.8,0.45,0.05
3,0.8,0.45,0.2
4,0.8,0.45,0.0
5,0.8,0.45,0.1
6,0.8,0.45,0.1
7,0.8,0.45,0.1
8,0.8,0.45,0.05
9,0.8,0.45,0.05
10,0.8,0.45,0.1
11,0.8,0.45,0.1
12,0.8,0.45,0.05
13,0.8,0.45,0.05
14,0.8,0.45,0.2
15,0.8,0.45,0.1
16,0.8,0.45,0.0
17,0.8,0.45,0.05
18,0.8,0.45,0.1
19,0.8,0.45,0.1
