Experiment #,Honest Voter Accuracy,Adversarial Control,Oracle Accuracy
0,0.8,0.35,0.85
1,0.8,0.35,1.0
2,0.8,0.35,0.95
3,0.8,0.35,0.1
4,0.8,0.35,0.9
5,0.8,0.35,0.75
6,0.8,0.35,0.0
7,0.8,0.35,1.0
8,0.8,0.35,1.0
9,0.8,0.35,0.9
10,0.8,0.35,0.05
11,0.8,0.35,1.0
12,0.8,0.35,0.95
13,0.8,0.35,0.95
14,0.8,0.35,0.95
15,0.8,0.35,1.0
16,0.8,0.35,0.95
17,0.8,0.35,0.8
18,0.8,0.35,0.9
19,0.8,0.35,0.9
