Experiment #,Honest Voter Accuracy,Adversarial Control,Oracle Accuracy
0,0.8,0.25,0.9
1,0.8,0.25,0.8
2,0.8,0.25,0.95
3,0.8,0.25,0.9
4,0.8,0.25,0.7
5,0.8,0.25,0.8
6,0.8,0.25,0.75
7,0.8,0.25,0.9
8,0.8,0.25,1.0
9,0.8,0.25,0.75
10,0.8,0.25,0.8
11,0.8,0.25,0.8
12,0.8,0.25,0.75
13,0.8,0.25,0.85
14,0.8,0.25,0.85
15,0.8,0.25,0.95
16,0.8,0.25,0.8
17,0.8,0.25,0.75
18,0.8,0.25,0.95
19,0.8,0.25,0.9
